REF_DATE,GEO,Client groups,VALUE,STATUS
2002-10,Prairie Region,Leisure clients,69.9,NA
2002-10,Prairie Region,Business clients,64.8,NA
2002-10,Manitoba,"Total, all client groups",71.5,NA
2002-10,Manitoba,Leisure clients,70.9,NA
2002-10,Manitoba,Business clients,71.6,NA
2002-10,Saskatchewan,"Total, all client groups",60.8,NA
2002-10,Saskatchewan,Leisure clients,63.3,NA
2002-10,Saskatchewan,Business clients,59,NA
2002-10,Alberta,"Total, all client groups",69.4,NA
2002-10,Alberta,Leisure clients,71.7,NA
2002-10,Alberta,Business clients,65.3,NA
2002-10,British Columbia Region,"Total, all client groups",75.3,NA
2002-10,British Columbia Region,Leisure clients,74.3,NA
2002-10,British Columbia Region,Business clients,74.9,NA
2002-10,British Columbia,"Total, all client groups",75.3,NA
2002-10,British Columbia,Leisure clients,74.3,NA
2002-10,British Columbia,Business clients,74.9,NA
2002-10,Territories,"Total, all client groups",74.7,NA
2002-10,Territories,Leisure clients,72.9,NA
2002-10,Territories,Business clients,75.7,NA
2002-10,Yukon,"Total, all client groups",74.6,NA
2002-10,Yukon,Leisure clients,71.3,NA
2002-10,Yukon,Business clients,77.5,NA
2002-10,Northwest Territories,"Total, all client groups",78.6,NA
2002-10,Northwest Territories,Leisure clients,80.3,NA
2002-10,Northwest Territories,Business clients,77.9,NA
2002-10,Nunavut,"Total, all client groups",71.3,NA
2002-10,Nunavut,Leisure clients,73.6,NA
2002-10,Nunavut,Business clients,71.1,NA
2003-01,Canada,"Total, all client groups",78.7,NA
2003-01,Canada,Leisure clients,79.5,NA
2003-01,Canada,Business clients,76.5,NA
2003-01,Atlantic Region,"Total, all client groups",72.4,NA
2003-01,Atlantic Region,Leisure clients,73.5,NA
2003-01,Atlantic Region,Business clients,71.4,NA
2003-01,Newfoundland and Labrador,"Total, all client groups",70.4,NA
2003-01,Newfoundland and Labrador,Leisure clients,70.9,NA
2003-01,Newfoundland and Labrador,Business clients,69.9,NA
2003-01,Prince Edward Island,"Total, all client groups",67.5,NA
2003-01,Prince Edward Island,Leisure clients,64.1,NA
2003-01,Prince Edward Island,Business clients,72.8,NA
2003-01,Nova Scotia,"Total, all client groups",74.5,NA
2003-01,Nova Scotia,Leisure clients,77.3,NA
2003-01,Nova Scotia,Business clients,72.3,NA
2003-01,New Brunswick,"Total, all client groups",73.1,NA
2003-01,New Brunswick,Leisure clients,75.6,NA
2003-01,New Brunswick,Business clients,71.6,NA
2003-01,Quebec Region,"Total, all client groups",85.3,NA
2003-01,Quebec Region,Leisure clients,83.7,NA
2003-01,Quebec Region,Business clients,86.1,NA
2003-01,Quebec,"Total, all client groups",85.3,NA
2003-01,Quebec,Leisure clients,83.7,NA
2003-01,Quebec,Business clients,86.1,NA
2003-01,Ontario Region,"Total, all client groups",86.1,NA
2003-01,Ontario Region,Leisure clients,89.8,NA
2003-01,Ontario Region,Business clients,83.7,NA
2003-01,Ontario,"Total, all client groups",86.1,NA
2003-01,Ontario,Leisure clients,89.8,NA
2003-01,Ontario,Business clients,83.7,NA
2003-01,Prairie Region,"Total, all client groups",68.5,NA
2003-01,Prairie Region,Leisure clients,69.7,NA
2003-01,Prairie Region,Business clients,65.3,NA
2003-01,Manitoba,"Total, all client groups",71.7,NA
2003-01,Manitoba,Leisure clients,70.1,NA
2003-01,Manitoba,Business clients,72.7,NA
2003-01,Saskatchewan,"Total, all client groups",62.1,NA
2003-01,Saskatchewan,Leisure clients,64.6,NA
2003-01,Saskatchewan,Business clients,60.2,NA
2003-01,Alberta,"Total, all client groups",69.5,NA
2003-01,Alberta,Leisure clients,71.2,NA
2003-01,Alberta,Business clients,65.6,NA
2003-01,British Columbia Region,"Total, all client groups",74.8,NA
2003-01,British Columbia Region,Leisure clients,73.9,NA
2003-01,British Columbia Region,Business clients,74.2,NA
2003-01,British Columbia,"Total, all client groups",74.8,NA
2003-01,British Columbia,Leisure clients,73.9,NA
2003-01,British Columbia,Business clients,74.2,NA
2003-01,Territories,"Total, all client groups",75.2,NA
2003-01,Territories,Leisure clients,73.2,NA
2003-01,Territories,Business clients,76.4,NA
2003-01,Yukon,"Total, all client groups",74.2,NA
2003-01,Yukon,Leisure clients,70.6,NA
2003-01,Yukon,Business clients,77.3,NA
2003-01,Northwest Territories,"Total, all client groups",80.3,NA
2003-01,Northwest Territories,Leisure clients,84.1,NA
2003-01,Northwest Territories,Business clients,79.1,NA
2003-01,Nunavut,"Total, all client groups",72.6,NA
2003-01,Nunavut,Leisure clients,75.6,NA
2003-01,Nunavut,Business clients,72.3,NA
2003-04,Canada,"Total, all client groups",84.6,NA
