REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-10,Canada,Cattle and calves [11111],54.6,NA,[11111]
1981-10,Canada,Hogs [11112],99.7,NA,[11112]
1981-10,Canada,Poultry [11113],69.7,NA,[11113]
1981-10,Canada,Eggs in shell [11611],49.7,NA,[11611]
1981-10,Canada,Unprocessed milk [11612],36.5,NA,[11612]
1981-10,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",45.5,NA,[121]
1981-10,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",45.5,NA,[12111]
1981-10,Canada,Non-metallic minerals [M31],37.5,NA,[M31]
1981-10,Canada,Stone [16211],32.2,NA,[16211]
1981-10,Canada,Logs and bolts [13111],34.2,NA,[13111]
1981-10,Canada,Pulpwood [13112],101.2,NA,[13112]
1981-10,Canada,Natural rubber [282M],49.3,NA,[282M]
1981-10,Canada,Iron ores and concentrates [151],44.6,NA,[151]
1981-10,Canada,Copper ores and concentrates [152],31.9,NA,[152]
1981-10,Canada,Nickel ores and concentrates [153],43.7,NA,[153]
1981-10,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-10,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",29.2,NA,[15511]
1981-10,Canada,Waste and scrap of iron and steel [15611],64,NA,[15611]
1981-10,Canada,Waste and scrap of non-ferrous metals [15612],27.3,NA,[15612]
1981-11,Canada,"Total, Raw materials price indexes (RMPI)",44.1,NA,NA
1981-11,Canada,Crude energy products [M51],41,NA,[M51]
1981-11,Canada,Conventional crude oil [14111],42.9,NA,[14111]
1981-11,Canada,Natural gas [142],91.3,NA,[142]
1981-11,Canada,Hard coal [14411],67.4,NA,[14411]
1981-11,Canada,"Total, excluding crude energy products",44.7,NA,NA
1981-11,Canada,Crop products [M11],51.1,NA,[M11]
1981-11,Canada,Wheat [112],59.8,NA,[112]
1981-11,Canada,Canola (including rapeseed) [113],60.2,NA,[113]
1981-11,Canada,Fresh potatoes [11421],26.6,NA,[11421]
1981-11,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],57.8,NA,[11422]
1981-11,Canada,Animals and animal products [M21],53.5,NA,[M21]
1981-11,Canada,Cattle and calves [11111],53.9,NA,[11111]
1981-11,Canada,Hogs [11112],92,NA,[11112]
1981-11,Canada,Poultry [11113],69.9,NA,[11113]
1981-11,Canada,Eggs in shell [11611],49,NA,[11611]
1981-11,Canada,Unprocessed milk [11612],36.7,NA,[11612]
1981-11,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",44.6,NA,[121]
1981-11,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",44.6,NA,[12111]
1981-11,Canada,Non-metallic minerals [M31],37.6,NA,[M31]
1981-11,Canada,Stone [16211],32.1,NA,[16211]
1981-11,Canada,Logs and bolts [13111],34,NA,[13111]
