REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2014-06,Canada,"Computer monitors, businesses and governments [36111231]",98.7,NA
2014-06,Canada,Computer printers [3611124],100.4,NA
2014-06,Canada,Inkjet printers [36111241],99.6,NA
2014-06,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-06,Canada,Laser printers [36111242],100.5,NA
2014-06,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-07,Canada,Computer monitors and computer printers [E12],99.7,NA
2014-07,Canada,Computer monitors [3611123],97.8,NA
2014-07,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2014-07,Canada,Computer printers [3611124],100,NA
2014-07,Canada,Inkjet printers [36111241],97.9,NA
2014-07,Canada,"Inkjet printers, businesses and governments [361112411]",98,NA
2014-07,Canada,Laser printers [36111242],100.3,NA
2014-07,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2014-08,Canada,Computer monitors and computer printers [E12],99.9,NA
2014-08,Canada,Computer monitors [3611123],98.5,NA
2014-08,Canada,"Computer monitors, businesses and governments [36111231]",98.9,NA
2014-08,Canada,Computer printers [3611124],100.2,NA
2014-08,Canada,Inkjet printers [36111241],99,NA
2014-08,Canada,"Inkjet printers, businesses and governments [361112411]",99.1,NA
2014-08,Canada,Laser printers [36111242],100.3,NA
2014-08,Canada,"Laser printers, businesses and governments [361112421]",100.2,NA
2014-09,Canada,Computer monitors and computer printers [E12],99.9,NA
2014-09,Canada,Computer monitors [3611123],98.5,NA
2014-09,Canada,"Computer monitors, businesses and governments [36111231]",98.8,NA
2014-09,Canada,Computer printers [3611124],100.1,NA
